id;tipo;descricao;gravidade;origem;data;hora;duracao;usuario_id
206;audio;silence;leve;Rede;'29/11/2025;02:08:44;00:00:01.148ms;0
205;audio;silence;leve;Rede;'29/11/2025;02:08:42;00:00:00.572ms;0
204;audio;silence;leve;Rede;'29/11/2025;00:50:40;00:00:00.480ms;0
203;audio;silence;leve;Rede;'29/11/2025;00:50:39;00:00:00.556ms;0
202;audio;silence;leve;Rede;'29/11/2025;00:46:14;00:00:01.080ms;0
201;audio;silence;leve;Rede;'29/11/2025;00:37:31;00:00:00.805ms;0
200;audio;silence;leve;Rede;'29/11/2025;00:36:05;00:00:00.548ms;0
199;audio;silence;leve;Rede;'29/11/2025;00:36:04;00:00:00.509ms;0
198;audio;silence;leve;Rede;'29/11/2025;00:34:02;00:00:01.072ms;0
197;audio;silence;leve;Rede;'29/11/2025;00:33:40;00:00:00.616ms;0
196;audio;silence;leve;Rede;'29/11/2025;00:33:39;00:00:00.640ms;0
195;audio;silence;leve;Rede;'29/11/2025;00:31:27;00:00:00.613ms;0
194;audio;silence;leve;Rede;'29/11/2025;00:31:26;00:00:00.514ms;0
193;audio;silence;leve;Rede;'29/11/2025;00:31:14;00:00:00.470ms;0
192;audio;silence;leve;Rede;'29/11/2025;00:31:13;00:00:00.613ms;0
191;audio;silence;leve;Rede;'29/11/2025;00:29:17;00:00:00.859ms;0
190;audio;silence;leve;Rede;'29/11/2025;00:29:16;00:00:00.909ms;0
189;audio;silence;leve;Rede;'29/11/2025;00:29:01;00:00:00.560ms;0
187;audio;silence;leve;Rede;'29/11/2025;00:29:00;00:00:00.213ms;0
188;audio;silence;leve;Rede;'29/11/2025;00:29:00;00:00:00.390ms;0
186;audio;silence;leve;Rede;'29/11/2025;00:28:02;00:00:00.446ms;0
185;audio;silence;leve;Rede;'29/11/2025;00:28:01;00:00:00.755ms;0
184;audio;silence;leve;Rede;'29/11/2025;00:19:29;00:00:00.617ms;0
183;audio;silence;leve;Rede;'29/11/2025;00:19:28;00:00:00.624ms;0
182;audio;silence;leve;Rede;'29/11/2025;00:15:38;00:00:00.554ms;0
181;audio;silence;leve;Rede;'29/11/2025;00:15:37;00:00:00.942ms;0
180;audio;silence;leve;Rede;'29/11/2025;00:15:07;00:00:01.518ms;0
179;audio;silence;leve;Rede;'29/11/2025;00:15:05;00:00:01.127ms;0
177;audio;silence;leve;Rede;'29/11/2025;00:13:38;00:00:00.664ms;0
178;audio;silence;leve;Rede;'29/11/2025;00:13:38;00:00:00.429ms;0
176;audio;silence;leve;Rede;'29/11/2025;00:12:02;00:00:00.614ms;0
175;audio;silence;leve;Rede;'29/11/2025;00:12:01;00:00:00.542ms;0
174;audio;silence;leve;Rede;'29/11/2025;00:11:26;00:00:00.682ms;0
173;audio;silence;leve;Rede;'29/11/2025;00:11:25;00:00:00.901ms;0
172;audio;silence;leve;Rede;'29/11/2025;00:09:22;00:00:00.784ms;0
171;audio;silence;leve;Rede;'29/11/2025;00:09:20;00:00:00.278ms;0
170;audio;silence;leve;Rede;'29/11/2025;00:08:15;00:00:00.368ms;0
169;audio;silence;leve;Rede;'29/11/2025;00:08:14;00:00:00.790ms;0
168;audio;silence;leve;Rede;'29/11/2025;00:06:08;00:00:00.690ms;0
167;audio;silence;leve;Rede;'29/11/2025;00:06:07;00:00:00.508ms;0
166;audio;silence;leve;Rede;'29/11/2025;00:02:24;00:00:00.464ms;0
165;audio;silence;leve;Rede;'29/11/2025;00:02:23;00:00:00.509ms;0
164;audio;silence;leve;Rede;'28/11/2025;23:59:32;00:00:00.430ms;0
163;audio;silence;leve;Rede;'28/11/2025;23:59:31;00:00:00.700ms;0
162;audio;silence;leve;Rede;'28/11/2025;23:58:39;00:00:00.843ms;0
161;audio;silence;leve;Rede;'28/11/2025;23:58:38;00:00:00.511ms;0
160;audio;silence;leve;Rede;'28/11/2025;23:55:52;00:00:01.143ms;0
159;audio;silence;leve;Rede;'28/11/2025;23:55:51;00:00:00.508ms;0
158;audio;silence;leve;Rede;'28/11/2025;23:51:58;00:00:00.580ms;0
157;audio;silence;leve;Rede;'28/11/2025;23:51:57;00:00:01.261ms;0
156;audio;silence;leve;Rede;'28/11/2025;23:51:39;00:00:00.729ms;0
155;audio;silence;leve;Rede;'28/11/2025;23:49:48;00:00:00.791ms;0
154;audio;silence;leve;Rede;'28/11/2025;23:49:47;00:00:00.336ms;0
153;audio;silence;leve;Rede;'28/11/2025;23:49:46;00:00:00.183ms;0
152;audio;silence;leve;Rede;'28/11/2025;23:49:19;00:00:00.496ms;0
151;audio;silence;leve;Rede;'28/11/2025;23:49:18;00:00:00.994ms;0
150;audio;silence;leve;Rede;'28/11/2025;23:49:04;00:00:02.895ms;0
149;audio;silence;leve;Rede;'28/11/2025;23:48:44;00:00:00.494ms;0
148;audio;silence;leve;Rede;'28/11/2025;23:48:43;00:00:00.567ms;0
147;audio;silence;leve;Rede;'28/11/2025;23:48:25;00:00:00.516ms;0
146;audio;silence;leve;Rede;'28/11/2025;23:48:24;00:00:00.742ms;0
145;audio;silence;leve;Rede;'28/11/2025;23:47:33;00:00:00.760ms;0
144;audio;silence;leve;Rede;'28/11/2025;23:47:32;00:00:00.510ms;0
143;audio;silence;leve;Rede;'28/11/2025;23:45:45;00:00:00.453ms;0
142;audio;silence;leve;Rede;'28/11/2025;23:45:44;00:00:00.591ms;0
141;audio;silence;leve;Rede;'28/11/2025;23:42:39;00:00:01.071ms;0
140;audio;silence;leve;Rede;'28/11/2025;23:38:24;00:00:00.615ms;0
139;audio;silence;leve;Rede;'28/11/2025;23:38:23;00:00:00.546ms;0
138;audio;silence;leve;Rede;'28/11/2025;23:28:30;00:00:00.305ms;0
137;audio;silence;leve;Rede;'28/11/2025;23:28:29;00:00:00.616ms;0
136;audio;silence;leve;Rede;'28/11/2025;23:26:55;00:00:01.102ms;0
135;audio;silence;leve;Rede;'28/11/2025;23:06:22;00:00:00.551ms;0
134;audio;silence;leve;Rede;'28/11/2025;23:06:21;00:00:00.509ms;0
133;audio;silence;leve;Rede;'28/11/2025;23:06:05;00:00:00.543ms;0
132;audio;silence;leve;Rede;'28/11/2025;23:06:04;00:00:00.507ms;0
131;audio;silence;leve;Rede;'28/11/2025;23:05:43;00:00:00.745ms;0
130;audio;silence;leve;Rede;'28/11/2025;23:05:42;00:00:00.564ms;0
