id;tipo;descricao;gravidade;origem;data;hora;duracao;usuario_id
129;audio;silence;leve;Rede;'28/11/2025;23:05:27;00:00:01.192ms;0
128;audio;silence;leve;Rede;'28/11/2025;23:04:59;00:00:00.487ms;0
127;audio;silence;leve;Rede;'28/11/2025;23:04:58;00:00:00.559ms;0
126;audio;silence;leve;Rede;'28/11/2025;23:04:22;00:00:00.567ms;0
125;audio;silence;leve;Rede;'28/11/2025;23:04:21;00:00:00.694ms;0
124;audio;silence;leve;Rede;'28/11/2025;23:03:58;00:00:00.556ms;0
123;audio;silence;leve;Rede;'28/11/2025;23:03:57;00:00:00.662ms;0
122;audio;silence;leve;Rede;'28/11/2025;23:01:49;00:00:00.633ms;0
121;audio;silence;leve;Rede;'28/11/2025;23:01:48;00:00:00.617ms;0
120;audio;silence;leve;Rede;'28/11/2025;22:59:19;00:00:00.594ms;0
119;audio;silence;leve;Rede;'28/11/2025;22:59:18;00:00:00.775ms;0
118;audio;silence;leve;Rede;'28/11/2025;22:58:12;00:00:01.643ms;0
117;audio;silence;leve;Rede;'28/11/2025;22:58:10;00:00:00.575ms;0
116;audio;silence;leve;Rede;'28/11/2025;22:57:33;00:00:01.209ms;0
115;audio;silence;leve;Rede;'28/11/2025;22:57:32;00:00:00.777ms;0
114;audio;silence;leve;Rede;'28/11/2025;22:53:11;00:00:00.631ms;0
113;audio;silence;leve;Rede;'28/11/2025;22:53:10;00:00:00.507ms;0
112;audio;silence;leve;Rede;'28/11/2025;22:52:36;00:00:01.147ms;0
111;audio;silence;leve;Rede;'28/11/2025;22:52:34;00:00:00.420ms;0
110;audio;silence;leve;Rede;'28/11/2025;22:48:24;00:00:00.940ms;0
109;audio;silence;leve;Rede;'28/11/2025;22:48:22;00:00:00.731ms;0
108;audio;silence;leve;Rede;'28/11/2025;22:47:44;00:00:00.664ms;0
107;audio;silence;leve;Rede;'28/11/2025;22:47:43;00:00:00.416ms;0
106;audio;silence;leve;Rede;'28/11/2025;22:46:36;00:00:00.678ms;0
105;audio;silence;leve;Rede;'28/11/2025;22:44:51;00:00:00.619ms;0
104;audio;silence;leve;Rede;'28/11/2025;22:44:50;00:00:00.666ms;0
103;audio;silence;leve;Rede;'28/11/2025;22:41:10;00:00:00.553ms;0
102;audio;silence;leve;Rede;'28/11/2025;22:41:09;00:00:00.762ms;0
101;audio;silence;leve;Rede;'28/11/2025;22:40:17;00:00:00.553ms;0
100;audio;silence;leve;Rede;'28/11/2025;22:40:16;00:00:00.714ms;0
99;audio;silence;leve;Rede;'28/11/2025;22:38:51;00:00:01.032ms;0
98;audio;silence;leve;Rede;'28/11/2025;22:38:49;00:00:00.679ms;0
97;audio;silence;leve;Rede;'28/11/2025;22:38:00;00:00:00.464ms;0
96;audio;silence;leve;Rede;'28/11/2025;22:37:59;00:00:00.568ms;0
95;audio;silence;leve;Rede;'28/11/2025;22:37:28;00:00:00.466ms;0
94;audio;silence;leve;Rede;'28/11/2025;22:37:27;00:00:00.654ms;0
93;audio;silence;leve;Rede;'28/11/2025;22:37:06;00:00:00.694ms;0
92;audio;silence;leve;Rede;'28/11/2025;22:37:05;00:00:00.701ms;0
90;audio;silence;leve;Rede;'28/11/2025;22:36:16;00:00:01.116ms;0
91;audio;silence;leve;Rede;'28/11/2025;22:36:16;00:00:00.451ms;0
89;audio;silence;leve;Rede;'28/11/2025;22:35:50;00:00:00.534ms;0
88;audio;silence;leve;Rede;'28/11/2025;22:35:49;00:00:00.947ms;0
87;audio;silence;leve;Rede;'28/11/2025;22:33:52;00:00:00.824ms;0
86;audio;silence;leve;Rede;'28/11/2025;22:26:13;00:00:00.478ms;0
85;audio;silence;leve;Rede;'28/11/2025;22:26:12;00:00:01.035ms;0
84;audio;silence;leve;Rede;'28/11/2025;22:24:17;00:00:00.296ms;0
82;audio;silence;leve;Rede;'28/11/2025;22:24:16;00:00:00.429ms;0
83;audio;silence;leve;Rede;'28/11/2025;22:24:16;00:00:00.366ms;0
80;audio;silence;leve;Rede;'28/11/2025;22:23:05;00:00:00.558ms;0
81;audio;silence;leve;Rede;'28/11/2025;22:23:05;00:00:00.485ms;0
79;audio;silence;leve;Rede;'28/11/2025;22:21:35;00:00:00.833ms;0
78;audio;silence;leve;Rede;'28/11/2025;22:21:34;00:00:00.851ms;0
77;audio;silence;leve;Rede;'28/11/2025;22:21:07;00:00:00.621ms;0
76;audio;silence;leve;Rede;'28/11/2025;22:21:06;00:00:00.508ms;0
75;audio;silence;leve;Rede;'28/11/2025;22:19:21;00:00:00.462ms;0
74;audio;silence;leve;Rede;'28/11/2025;22:19:20;00:00:00.985ms;0
73;audio;silence;leve;Rede;'28/11/2025;22:18:34;00:00:00.751ms;0
72;audio;silence;leve;Rede;'28/11/2025;22:18:33;00:00:00.524ms;0
71;audio;silence;leve;Rede;'28/11/2025;22:16:18;00:00:01.145ms;0
70;audio;silence;leve;Rede;'28/11/2025;14:22:16;00:00:00.484ms;0
69;audio;silence;leve;Rede;'28/11/2025;14:22:15;00:00:00.510ms;0
68;audio;silence;leve;Rede;'28/11/2025;14:21:05;00:00:00.730ms;0
67;audio;silence;leve;Rede;'28/11/2025;14:21:04;00:00:00.266ms;0
66;audio;silence;leve;Rede;'28/11/2025;14:19:18;00:00:00.437ms;0
65;audio;silence;leve;Rede;'28/11/2025;14:19:17;00:00:01.367ms;0
64;audio;silence;leve;Rede;'28/11/2025;14:15:17;00:00:00.823ms;0
63;audio;silence;leve;Rede;'28/11/2025;14:14:51;00:00:00.945ms;0
62;audio;silence;leve;Rede;'28/11/2025;14:13:27;00:00:00.618ms;0
61;audio;silence;leve;Rede;'28/11/2025;14:13:26;00:00:00.541ms;0
60;audio;silence;leve;Rede;'28/11/2025;14:12:47;00:00:00.929ms;0
59;audio;silence;leve;Rede;'28/11/2025;14:12:14;00:00:00.751ms;0
58;audio;silence;leve;Rede;'28/11/2025;14:12:13;00:00:00.269ms;0
57;audio;silence;leve;Rede;'28/11/2025;14:11:13;00:00:00.641ms;0
56;audio;silence;leve;Rede;'28/11/2025;14:11:12;00:00:00.566ms;0
55;audio;silence;leve;Rede;'28/11/2025;13:54:28;00:00:00.819ms;0
54;audio;silence;leve;Rede;'28/11/2025;13:54:27;00:00:00.332ms;0
53;audio;silence;leve;Rede;'28/11/2025;13:54:10;00:00:01.152ms;0
52;audio;silence;leve;Rede;'28/11/2025;13:54:09;00:00:00.334ms;0
51;audio;silence;leve;Rede;'28/11/2025;13:53:47;00:00:00.653ms;0
50;audio;silence;leve;Rede;'28/11/2025;13:53:46;00:00:00.490ms;0
49;audio;silence;leve;Rede;'28/11/2025;13:53:22;00:00:00.627ms;0
48;audio;silence;leve;Rede;'28/11/2025;13:53:21;00:00:00.583ms;0
47;audio;silence;leve;Rede;'28/11/2025;13:53:04;00:00:00.529ms;0
46;audio;silence;leve;Rede;'28/11/2025;13:53:03;00:00:00.693ms;0
45;audio;silence;leve;Rede;'28/11/2025;13:52:34;00:00:00.620ms;0
44;audio;silence;leve;Rede;'28/11/2025;13:52:33;00:00:00.563ms;0
43;audio;silence;leve;Rede;'28/11/2025;13:47:03;00:00:00.475ms;0
42;audio;silence;leve;Rede;'28/11/2025;13:47:02;00:00:00.552ms;0
41;audio;silence;leve;Rede;'28/11/2025;13:46:02;00:00:00.585ms;0
40;audio;silence;leve;Rede;'28/11/2025;13:46:01;00:00:01.310ms;0
39;audio;silence;leve;Rede;'28/11/2025;13:44:26;00:00:00.459ms;0
38;audio;silence;leve;Rede;'28/11/2025;13:44:25;00:00:00.600ms;0
37;audio;silence;leve;Rede;'28/11/2025;13:41:35;00:00:00.476ms;0
36;audio;silence;leve;Rede;'28/11/2025;13:41:34;00:00:00.747ms;0
35;audio;silence;leve;Rede;'28/11/2025;13:39:01;00:00:00.748ms;0
34;audio;silence;leve;Rede;'28/11/2025;13:39:00;00:00:00.722ms;0
33;audio;silence;leve;Rede;'28/11/2025;13:27:24;00:00:00.764ms;0
32;audio;silence;leve;Rede;'28/11/2025;13:27:23;00:00:00.233ms;0
31;audio;silence;leve;Rede;'28/11/2025;13:16:57;00:00:01.357ms;0
30;video;fade;leve;Rede;'28/11/2025;11:59:45;00:00:02.861ms;0
29;video;freeze;leve;Rede;'26/11/2025;08:41:04;00:00:00.026ms;0
28;video;freeze;leve;Rede;'26/11/2025;08:41:02;00:00:00.027ms;0
27;video;freeze;leve;Rede;'26/11/2025;08:41:00;00:00:00.028ms;0
26;video;freeze;leve;Rede;'26/11/2025;08:35:52;00:00:00.029ms;0
25;video;freeze;leve;Rede;'26/11/2025;08:35:51;00:00:00.028ms;0
24;video;freeze;leve;Rede;'26/11/2025;08:35:49;00:00:00.097ms;0
23;video;freeze;leve;Rede;'26/11/2025;08:31:49;00:00:00.029ms;0
22;video;freeze;leve;Rede;'26/11/2025;08:31:44;00:00:00.028ms;0
21;video;fade;leve;Rede;'25/11/2025;21:34:50;00:00:02.686ms;0
20;video;fade;leve;Rede;'25/11/2025;21:32:28;00:00:02.622ms;0
19;video;fade;leve;Rede;'25/11/2025;21:31:39;00:00:02.758ms;0
18;video;fade;leve;Rede;'25/11/2025;21:28:37;00:00:02.546ms;0
17;video;fade;leve;Rede;'25/11/2025;21:26:23;00:00:02.691ms;0
16;video;fade;leve;Rede;'25/11/2025;21:24:52;00:00:02.548ms;0
15;video;fade;leve;Rede;'25/11/2025;21:19:01;00:00:02.726ms;0
14;video;fade;leve;Rede;'25/11/2025;21:13:56;00:00:03.176ms;0
13;video;fade;leve;Rede;'25/11/2025;21:11:05;00:00:02.407ms;0
12;video;fade;leve;Rede;'25/11/2025;21:09:55;00:00:02.618ms;0
11;video;fade;leve;Rede;'25/11/2025;20:58:25;00:00:02.588ms;0
10;video;fade;leve;Rede;'25/11/2025;20:57:14;00:00:02.474ms;0
9;video;fade;leve;Rede;'25/11/2025;20:45:45;00:00:02.844ms;0
8;video;fade;leve;Rede;'25/11/2025;20:43:08;00:00:02.810ms;0
7;video;fade;leve;Rede;'25/11/2025;20:41:26;00:00:02.706ms;0
6;video;fade;leve;Rede;'25/11/2025;20:37:19;00:00:02.579ms;0
5;video;fade;leve;Rede;'25/11/2025;20:33:34;00:00:02.509ms;0
4;video;fade;leve;Rede;'25/11/2025;20:03:38;00:00:02.856ms;0
3;video;fade;leve;Rede;'25/11/2025;20:00:25;00:00:03.139ms;0
2;video;fade;leve;Rede;'25/11/2025;19:59:26;00:00:02.678ms;0
1;video;fade;leve;Rede;'25/11/2025;19:58:21;00:00:02.546ms;0
